ModelDsX;ModelDsY;AUC
15;15;0.560108
15;16;0.566074
15;17;0.562914
15;18;0.538490
15;19;0.583885
15;20;0.607402
15;21;0.580764
15;22;0.580096
16;15;0.534990
16;16;0.561126
16;17;0.558237
16;18;0.566827
16;19;0.588294
16;20;0.582001
16;21;0.613271
16;22;0.607191
17;15;0.564219
17;16;0.576501
17;17;0.571502
17;18;0.563429
17;19;0.609550
17;20;0.648635
17;21;0.629215
17;22;0.627773
18;15;0.594460
18;16;0.616645
18;17;0.567404
18;18;0.590477
18;19;0.626153
18;20;0.609572
18;21;0.619980
18;22;0.616156
19;15;0.621921
19;16;0.583849
19;17;0.618958
19;18;0.614646
19;19;0.611137
19;20;0.636018
19;21;0.626926
19;22;0.611199
20;15;0.597571
20;16;0.581500
20;17;0.630517
20;18;0.606130
20;19;0.610901
20;20;0.666253
20;21;0.600579
20;22;0.651788
21;15;0.605756
21;16;0.623573
21;17;0.605323
21;18;0.632105
21;19;0.615655
21;20;0.621294
21;21;0.641337
21;22;0.621928
22;15;0.571727
22;16;0.617283
22;17;0.615682
22;18;0.594385
22;19;0.629417
22;20;0.627562
22;21;0.631326
22;22;0.620049
